ID,PlantHeight
PI534091,1.255
PI534092,0.77
PI534094,1.125
PI534095,0.625
PI534096,0.42
PI534097,0.685
PI534098,1.23
PI534099,0.775
PI534100,1.14
PI534101,0.855
PI534102,0.69
PI534103,0.77
PI534104,0.88
PI534105,0.775
PI534106,1.3
PI534107,0.8049999999999999
PI534108,1.18
PI534109,0.885
PI534112,0.86
PI534113,0.91
PI534114,0.81
PI534115,0.825
PI534118,1.1
PI534120,0.8400000000000001
PI534121,0.965
PI534122,1.365
PI534123,1.02
PI534124,1.21
PI534125,1.0550000000000002
PI534127,1.37
PI534128,0.94
PI534129,0.955
PI534130,0.995
PI534132,0.86
PI534133,0.945
PI534135,0.745
PI534136,0.77
PI534137,1.025
PI534139,2.045
PI534141,1.66
PI534142,1.21
PI534144,1.57
PI534146,1.1
PI534147,0.94
PI534148,0.915
PI534151,0.825
PI534153,0.605
PI534154,0.6950000000000001
PI534155,0.79
PI534156,0.62
PI534157,0.92
PI534158,0.765
PI534159,0.595
PI534160,0.7949999999999999
PI534161,1.6
PI534162,2.9000000000000004
PI534163,0.7849999999999999
PI534164,1.2200000000000002
PI534165,0.75
PI534166,0.525
PI534167,1.005
PI542406,1.68
PI548797,1.035
PI552861,1.095
PI561071,0.92
PI561072,0.875
PI561073,1.15
PI564163,1.099493670886076
PI564164,0.865
PI564165,0.87
PI574455,0.7
PI576328,0.775
PI576329,0.785
PI576331,1.64
PI576333,0.8700000000000001
PI576335,1.25
PI576336,0.875
PI576338,0.845
PI576339,1.005
PI576340,1.48
PI576343,0.76
PI576344,0.965
PI576345,1.295
PI576346,0.91
PI576347,0.815
PI576349,0.895
PI576351,0.68
PI576352,0.7949999999999999
PI576353,0.91
PI576358,0.715
PI576359,1.625
PI576360,0.8
PI576361,0.935
PI576362,0.93
PI576363,0.6950000000000001
PI576364,0.955
PI576365,0.725
PI576366,1.025
PI576367,1.0750000000000002
PI576368,0.94
PI576369,1.455
PI576370,0.4649999999999999
PI576371,0.74
PI576372,1.135
PI576373,0.905
PI576374,0.89
PI576375,1.15
PI576376,0.8200000000000001
PI576378,0.905
PI576382,1.245
PI576383,0.6799999999999999
PI576385,1.115
PI576386,1.725
PI576387,0.98
